term|count_percentage
Intensive Care Units|71
Databases Factual|32
Algorithms|34
Electronic Health Records|18
Reproducibility of Results|12
Sepsis|16
Monitoring Physiologic|13
Risk Assessment|9
Signal Processing Computer-Assisted|11
Severity of Illness Index|7
Risk Factors|6
Predictive Value of Tests|31
Pattern Recognition Automated|6
Medical Informatics|9
Liver Cirrhosis|9
Electrocardiography|5
Pancreatitis|4
Models Theoretical|20
Machine Learning|16
Hemodynamics|21
Decision Support Systems Clinical|9
Artificial Intelligence|4
Medication Effects|15
Subarachnoid Hemorrhage|4
Acute Kidney Injury|4
Natural Language Processing|3
Multiple Myeloma|3
Hypoxia|3
Hepatitis|3
Heart Failure|3
Computational Biology|3
Arrhythmias Cardiac|7
Resuscitation|2
Postoperative Complications|2
Diabetic Ketoacidosis|2
Clostridium Infections|1
Body Temperature|2
Intravenous Fluid|4
Patient-Specific Modeling|1
Disseminated Intravascular Coagulation|1
Circadian Rhythm|1
Brain Ischemia|2
Alcoholism|1
